ID,MUNICIPIO,TEL_FIJO,TEL_CEL
1,AGUASLINDAS,,
2,ANDALUCIA,,3215252796
3,ANSERMANUEVO,,
4,ARMENIA,(606) 7371765,3217720147
5,BETANIA,,
6,BOLIVAR,,
7,BUGA,(602) 2373995,3217728904
8,BUGALAGRANDE,(602) 2265891,3104638595
9,CAJAMARCA,,
10,CALI,(602) 6618809,3108309710
11,CARTAGO,(602) 2144712 – (602) 2176227,3217795909
12,CARTAGO (C),(602) 2144712 – (602) 2176227,3217795909
13,CARTAGO (PER),(602) 2144712 – (602) 2176227,3217795909
14,CASCARILLO,,
15,CASERES,,
16,CERRITOS,,
17,CERRITOS (LP),,
18,CRUCERO,,
19,EL CERRITO,,
20,EL DOVIO,,
21,EL FUSIL,,
22,EL HOBO,,
23,EL OVERO,,
24,EL SILENCIO,,
25,GUACAS,,
26,HIGUERONCITO,,
27,LA AGUADA,,
28,LA ARMENIA,,
29,LA MONTAÑUELA,,
30,LA PAILA,(602) 2034193,3217759133
31,LA PEÑA,,
32,LA TULIA,,
33,LA UNIÓN,,3146219248
34,LA URIBE,,
35,LA VICTORIA,,
36,MONTECRISTO,,
37,NARANJAL,,
38,OBANDO,,3113763322
39,PEREIRA,(606) 3212919,3177504145
40,PEREIRA (LP),(606) 3212919,3177504145
41,PORTACHUELO,,
42,PRIMAVERA,,
43,RICAURTE,,
44,ROLDANILLO,(602) 2299550 – (602) 2294327,3206655698
45,ROZO,,
46,SANTA RITA,,
47,TULUÁ,,3185781413
48,VARIANTE,,
49,ZARAGOZA,,
50,ZARZAL,(602) 2035207,3217790471
51,ZARZAL (ESTUDIANTE),(602) 2035207,3217790471
52,ZARZAL (INTERMEDIO),(602) 2035207,3217790471
53,ZARZAL (LURB),(602) 2035207,3217790471
54,ZARZAL (P),(602) 2035207,3217790471
55,ZARZAL (TTO),(602) 2035207,3217790471
56,ZARZAL BATALLÓN,(602) 2035207,3217790471
